OBJECTID,HSISID,NAME,ADDRESS1,ADDRESS2,CITY,STATE,POSTALCODE,PHONENUMBER,RESTAURANTOPENDATE,FACILITYTYPE,PERMITID,X,Y,GEOCODESTATUS
2382604,04092021582,HARRIS TEETER #311 DELI,324 VILLAGE WALK   DR ,,HOLLY SPRINGS,NC,27540,(919) 552-1596,2009/09/10 04:00:00+00,Food Stand,598,-78.83920919,35.6398791,M
2382605,04092018715,Foundation Senior Living Food Service,1437 Aversboro RD ,,GARNER,NC,27529,(919) 624-2564,2021/09/13 04:00:00+00,Restaurant,611,-78.61572011,35.69056999,M
2382606,04092018786,Crab Du Jour,3088 WAKE FOREST RD ,Suite 280,RALEIGH,NC,27609,(919) 977-1098,2022/01/24 05:00:00+00,Restaurant,614,-78.62038753,35.82333592,M
2382607,04092021670,DOMINO'S #5504,7315 SIX FORKS RD,,RALEIGH,NC,27615-6162,(919) 847-8855,2011/04/27 04:00:00+00,Food Stand,618,-78.64725808,35.88069032,M
2382608,04092016683,ROLY POLY,4040 ED DR ,,RALEIGH,NC,27612,(919) 785-0441,2014/05/13 04:00:00+00,Restaurant,621,-78.70319672,35.82518153,M
2382609,04092025349,Bourbon Street Kitchen,4325 GLENWOOD AVE,Suite 2055,RALEIGH,NC,27612,,2021/03/25 04:00:00+00,Food Stand,625,-78.68184484,35.84183815,T
2382610,04092016824,WING STOP #816,7880 ALEXANDER PROMENADE PLACE,,RALEIGH,NC,27617,(919) 237-3919,2014/12/05 05:00:00+00,Restaurant,637,-78.77695631,35.91424375,M
2382611,04092025298,Pizza Hut Delivery #036624,4011 Capital BLVD ,,RALEIGH,NC,27604,(919) 790-8111,2019/12/03 05:00:00+00,Food Stand,639,-78.58372976,35.83623733,M
2382612,04092021897,FOOD LION #1482 PRODUCE,5426 SIX FORKS RD ,,RALEIGH,NC,27609,(919) 676-3386,2015/10/22 04:00:00+00,Food Stand,645,-78.64059702,35.85499105,M
2382613,04092110486,ROOT ELEMENTARY CAFETERIA,3202 NORTHAMPTON ST ,,RALEIGH,NC,27609,(919) 881-4940,2009/09/14 04:00:00+00,Public School Lunchrooms,646,-78.65043831,35.82537972,M
2382614,04092018430,Dogwood Bar & Eatery,610 GLENWOOD AVE,,RALEIGH,NC,27603,(919) 977-3714,2020/09/01 04:00:00+00,Restaurant,648,-78.64681795,35.78777191,M
2382615,04092014473,Mackey's Pub,2101 S Main  ST ,STE 112,WAKE FOREST ,NC,27587,(919) 562-5570,2006/01/20 05:00:00+00,Restaurant,651,-78.53310077,35.94802112,M
2382616,04092030438,Jerk Man Island Cuisine (WCID #732),2161 S Wilmington ST ,,RALEIGH,NC,27603,(919) 943-7074,2019/08/21 04:00:00+00,Mobile Food Units,647,-78.64171063,35.75324624,M
2382617,04092025338,Lowes Foods #262 Meat/Seafood,687 MILLS PARK DR,,CARY,NC,27519,,2021/02/16 05:00:00+00,Food Stand,652,-78.89712096,35.80863645,M
2382618,04092300278,GRAND ASIA MEAT MARKET,1253 BUCK JONES RD ,,RALEIGH,NC,27606-3326,(919) 468-2988,2017/02/22 05:00:00+00,Meat Market,653,-78.74067496,35.76583498,M
2382619,04092300243,HARRIS TEETER #311 MEAT MARKET,324 VILLAGE WALK DR ,,HOLLY SPRINGS,NC,27502,(919) 552-1596,2009/09/10 04:00:00+00,Meat Market,657,-78.83920919,35.6398791,M
2382620,04092021950,KANGAROO EXPRESS #2720869,8500 HARPS MILL RD ,,RALEIGH,NC,27615-3834,(919) 872-0614,2016/03/16 04:00:00+00,Food Stand,667,-78.60165311,35.89132184,M
2382621,04092021936,CIRCLE K #3146,1720  N MAIN ST ,,FUQUAY VARINA,NC,27526,,2016/02/25 05:00:00+00,Food Stand,669,-78.75810908,35.59678082,M
2382622,04092015913,SAS BUILDING C CAFE,820 SAS CAMPUS DR ,,CARY,NC,27513,(919) 531-8651,2011/03/16 04:00:00+00,Restaurant,671,-78.75122071,35.81750425,M
2382623,04092017901,Vaishno Bhog,810 E Chatham ST ,,CARY,NC,27560,(919) 678-3172,2018/07/11 04:00:00+00,Restaurant,674,-78.76305622,35.79140272,M
2382624,04092021474,Lee's Kitchen,4638 Capital BLVD ,,RALEIGH,NC,27604,(919) 872-7422,2007/09/20 04:00:00+00,Food Stand,680,-78.57926249,35.84833828,M
2382625,04092018251,Pizza Hut #036631,1805 Aversboro RD ,,GARNER,NC,27529,(919) 779-9200,2019/12/03 05:00:00+00,Restaurant,681,-78.61707161,35.6858565,M
2382626,04092016747,SMITHFIELD'S CHICKEN N BAR-B-Q,3578 DAVIS  DR ,,MORRISVILLE,NC,27560,(919) 468-2607,2014/09/11 04:00:00+00,Restaurant,684,-78.84697957,35.81858861,M
2382627,04092021900,FOOD LION #90 PRODUCE,4317 FALLS OF NEUSE RD ,,RALEIGH,NC,27609,(919) 872-5376,2015/10/22 04:00:00+00,Food Stand,691,-78.61339277,35.84095998,M
2382628,04092014977,Starbucks Coffee Co,8204-120 Tryon Woods DR ,,CARY,NC,27518,(919) 851-6439,2007/10/22 04:00:00+00,Restaurant,683,-78.74169613,35.74700826,M
2382629,04092018634,Ish Deli,702 N PERSON ST,,RALEIGH,NC,27604,(919) 810-7451,2021/06/01 04:00:00+00,Restaurant,696,-78.63408794,35.78910376,M
2382630,04092017521,MCDONALDS #13159,1725 New Hope Church Rd,,RALEIGH,NC,27609,(919) 713-0903,2017/02/22 05:00:00+00,Restaurant,699,-78.60826495,35.83722719,M
2382631,04092018824,Primo Hoagies,141 PARK AT NORTH HILLS ST,Suite 111,RALEIGH,NC,27609,(919) 917-7111,2022/03/16 04:00:00+00,Restaurant,701,-78.63884173,35.83739486,M
2382632,04092141863,Garner Outdoor Concession,2101 Spring Dr,,Garner,NC,27529,(919) 395-0278,2022/04/05 04:00:00+00,Limited Food Service,709,-78.63736647,35.70995766,M
2382633,04092018512,Poke Bros,7870 Alexander Promenade PL ,Ste 110,RALEIGH,NC,27617,(919) 797-2322,2020/12/30 05:00:00+00,Restaurant,718,-78.77695631,35.91424375,M
2382634,04092040295,FOODLAND 4 (WCID #469),20 E HARGETT ST ,,RALEIGH,NC,27602,(919) 329-5296,2013/07/17 04:00:00+00,Pushcarts,722,-78.63837565,35.77810662,M
2382635,04092017894,Which Wich #670,7202 Knightdale BLVD ,,KNIGHTDALE,NC,27545,(919) 373-8883,2018/07/26 04:00:00+00,Restaurant,731,-78.48704631,35.79788571,M
2382636,04092030290,TAQUERIA LA COSTENA (WCID #537),3905 GREEN LEVEL WEST RD ,"corner of Green Level West Rd &amp; Autumn Shade Dr",APEX,NC,27523,(919) 244-0786,2015/10/09 04:00:00+00,Mobile Food Units,735,-78.9125522,35.774781,M
2382637,04092021890,FOOD LION #1496 PRODUCE,1777 W WILLIAMS ST ,,APEX,NC,27502,(919) 362-1986,2015/10/09 04:00:00+00,Food Stand,745,-78.87770701,35.75964934,M
2382638,04092050028,NEUSE CHRISTIAN ACADEMY,7600 FALLS OF NEUSE  RD ,,RALEIGH,NC,27615,(919) 847-0160 ext. 274,2009/12/30 05:00:00+00,Private School Lunchrooms,747,-78.62608851,35.88760817,M
2382639,04092017900,The Arbor @ Morgan Street Food Hall,411 W Morgan ST ,,RALEIGH,NC,27603,(919) 834-2720,2018/07/25 04:00:00+00,Restaurant,748,-78.6456917,35.77945516,M
2382640,04092017186,STARBUCKS #25115,180 CABELA DR ,,GARNER,NC,27529,(919) 819-5059,2016/03/29 04:00:00+00,Restaurant,750,-78.58356211,35.69799194,M
2382641,04092021889,FOOD LION #2504 PRODUCE,1030-125 N ROGERS LN ,,RALEIGH,NC,27610,(919) 792-0321,2015/10/06 04:00:00+00,Food Stand,744,-78.54967347,35.79198567,M
2382642,04092018318,TASU #2,525 NEW WAVERLY  PL ,SUITE 103,CARY,NC,27518,(919) 977-4037,2020/02/11 05:00:00+00,Restaurant,754,-78.77756306,35.7385362,M
2382643,04092018774,Dave and Buster 169,1111 WALNUT ST,,CARY,NC,27511,(919) 535-6800,2022/01/11 05:00:00+00,Restaurant,757,-78.76025493,35.77377018,M
2382644,04092018604,Tropical Smoothie NC 90,337 SEMBLER LN,,CARY,NC,27519,(919) 377-2320,2021/04/14 04:00:00+00,Restaurant,766,-78.90353469,35.82487418,M
